longitude,latitude,F0,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,target
34.75,29.75,1.0,71.0,20.0,0.0,5.311896559,96.86464691,40.33846664,21.51979256,38.74283218,24.2247982,0.0,0.0
113.75,20.25,219.0,353.0,143.0,73.0,2.932999982,170.4291229,34.56720352,20.60267067,33.58021545,26.62779808,0.0,0.0
114.75,20.25,268.0,641.0,181.0,36.0,2.620999934,162.9506989,34.56036758,16.70183754,33.62839127,26.7452774,0.0,0.0
113.75,22.25,23.0,79.0,8.0,0.0,119.585,249.8156891,33.97418976,25.0757122,25.71793747,24.5708847,0.0,0.0
114.25,22.25,22.0,95.0,10.0,0.0,97.5759998,233.3320923,33.75919724,25.0780201,28.14297676,24.6837883,0.0,0.0
117.75,21.25,170.0,1800.0,919.0,431.0,2.887000097,84.57500458,34.49958801,4.496806145,33.74023056,26.79128456,0.0,0.0
119.75,25.25,25.0,202.0,22.0,0.0,31.17300011,211.5158691,33.83293533,23.2630043,31.13261223,22.15701866,0.0,0.0
120.25,23.25,9.0,112.0,30.0,0.0,15.42161964,162.1039581,34.47208023,16.15923882,33.61790085,26.18967056,0.0,0.0
122.25,23.25,91.0,5497.0,4801.0,3112.0,4.989000037,158.2386322,34.68000793,1.193070054,34.24462128,27.04129028,0.0,0.0
120.25,24.25,24.0,97.0,41.0,0.0,25.09799972,210.4887085,34.11342621,24.03695869,33.67094803,24.72779274,0.0,0.0
121.75,25.25,15.0,203.0,66.0,0.0,19.22900043,190.8435669,34.65146255,20.85149193,33.6161232,24.41738129,0.0,0.0
129.25,25.75,199.0,7049.0,6181.0,4396.0,3.320999909,158.780899,34.68388748,1.180448055,34.59614182,25.45174789,0.0,0.0
127.75,26.75,23.0,863.0,197.0,0.0,6.475999951,214.4090576,34.60094452,24.24538994,34.4906311,24.91148758,0.0,0.0
2.75,37.25,89.0,2802.0,2756.0,2283.0,0.934000011,193.1423645,38.44409561,13.02208138,36.57086945,19.7604866,0.0,0.0
0.75,38.25,114.0,2223.0,1122.0,320.0,0.691999972,190.1827393,38.46508408,13.05930901,36.72269821,19.93976402,0.0,0.0
0.25,39.75,49.0,1044.0,192.0,2.0,1.814999967,221.9315338,38.27842331,13.6159544,37.22977829,19.47541237,0.0,0.0
0.75,39.75,80.0,1362.0,560.0,10.0,0.974000024,188.0966492,38.46026611,13.07746601,37.2062645,19.43211937,0.0,0.0
2.75,39.25,20.0,898.0,237.0,0.0,0.532999984,233.313858,38.22663116,13.78688431,36.98891068,19.96898079,0.0,0.0
2.75,39.75,9.0,1353.0,334.0,0.0,0.570128148,223.2519684,38.18339157,14.96004391,37.16917038,19.77823639,0.0,0.0
3.25,39.25,18.0,2410.0,973.0,0.0,0.505000004,194.6035004,38.45871353,13.07956505,37.02675247,19.91440392,0.0,0.0
3.25,39.75,10.0,131.0,28.0,0.0,0.500999973,232.1952667,37.76470947,19.34996033,37.24622345,19.73448181,0.0,0.0
3.75,39.75,21.0,1637.0,403.0,0.0,0.534999999,206.5493469,38.48931122,13.31454945,37.21736908,19.73158073,0.0,0.0
4.25,39.75,19.0,1722.0,741.0,0.0,0.595999998,188.6079865,38.50099182,13.09160423,37.21855927,19.63794899,0.0,0.0
14.25,32.75,15.0,409.0,151.0,0.0,0.639999984,226.5334778,38.04240036,21.16846085,38.09878922,21.79398537,0.0,0.0
11.25,33.25,9.0,33.0,9.0,0.0,0.895000005,222.6603088,37.68156052,21.54733086,37.80527878,21.9418335,0.0,0.0
10.75,34.25,69.0,97.0,34.0,18.0,0.908999995,236.2433014,37.62608719,19.93749237,37.87440872,21.64842033,0.0,0.0
17.25,31.25,17.0,243.0,78.0,0.0,0.631999981,237.6427612,38.0647049,19.34860039,38.20603943,22.13759613,0.0,0.0
13.75,35.75,90.0,1095.0,684.0,518.0,0.605000008,195.998642,38.77932358,14.07438183,37.76095963,20.90438843,0.0,0.0
14.25,35.75,22.0,1047.0,585.0,0.0,0.645000022,189.4655304,38.74258804,13.92369556,37.75282669,20.9343853,0.0,0.0
12.25,36.25,100.0,1019.0,444.0,211.0,0.536000007,195.0194702,38.76041412,14.07194042,37.49636459,20.3118,0.0,0.0
12.75,39.75,183.0,3675.0,3382.0,1531.0,0.44199999,189.44104,38.66599655,12.93067455,37.8391571,20.06521797,0.0,0.0
15.75,38.25,11.0,1199.0,360.0,0.0,0.882566848,210.2281952,38.63926697,14.16835213,38.15491486,20.22580528,0.0,0.0
20.25,33.25,97.0,3688.0,2673.0,1162.0,0.584000023,182.5844727,38.67479706,13.22229195,38.53728485,21.84078789,0.0,0.0
29.75,31.25,22.0,798.0,162.0,0.0,0.754999986,220.2463684,38.97596359,21.77089691,38.51290894,22.539814,0.0,0.0
29.75,34.75,200.0,2857.0,2502.0,2355.0,0.581,178.836319,38.74786758,14.03673267,39.18257141,21.40044403,0.0,0.0
21.25,36.25,116.0,4497.0,3893.0,3042.0,0.612000003,182.499115,38.66888809,13.21456146,38.40849686,20.97127151,0.0,0.0
24.25,37.75,20.0,498.0,130.0,0.0,1.029000035,240.4514008,38.73371124,16.6281929,35.84920883,19.83304214,0.0,0.0
